fheid,fid,closed_on,opened_on,close_boss_rut
191,119,2013-05-01 22:04:40,2013-05-05 12:58:38,38204359-6
192,25,2020-04-25 20:39:28,2020-05-07 22:16:55,59537115-5
193,114,2014-06-16 01:56:36,2014-06-19 13:53:35,89793517-1
194,167,2018-06-10 02:19:01,2018-06-17 18:48:24,59150917-9
195,139,2015-08-24 12:07:53,2015-08-30 14:06:10,56425505-k
196,145,2020-02-09 02:49:03,2020-02-16 18:45:39,40644356-6
197,113,2011-06-23 13:43:04,2011-07-02 18:58:47,81401624-2
198,203,2020-08-27 15:42:57,2020-09-06 18:04:59,40978316-3
199,131,2019-07-06 20:57:18,2019-07-18 03:41:39,30991735-9
200,54,2011-08-23 06:30:26,2011-09-05 11:11:51,79348268-k
201,123,2014-01-02 23:39:42,2014-01-11 10:22:14,68225683-4
202,160,2011-02-21 21:38:23,2011-03-06 12:01:30,51317447-0
203,15,2015-12-03 03:29:17,2015-12-16 06:11:27,31359212-k
204,110,2010-04-13 01:07:21,2010-04-23 05:27:10,29637564-0
205,101,2011-10-16 17:57:22,2011-10-24 07:56:01,80885102-4
206,117,2010-03-20 14:07:18,2010-04-02 23:46:59,38717290-4
207,134,2015-10-14 18:01:02,2015-10-27 04:07:38,80698616-k
208,100,2012-01-09 17:12:40,2012-01-13 01:32:06,56474633-9
209,91,2010-12-27 21:18:37,2011-01-10 08:49:35,74415365-4
210,127,2011-04-19 21:54:39,2011-05-02 09:49:12,14343597-0
211,63,2012-06-13 03:05:22,2012-06-26 06:44:42,86083776-5
212,211,2014-05-29 00:05:08,2014-06-06 05:14:57,55326528-2
213,102,2018-09-04 15:29:20,2018-09-15 03:54:37,88107942-9
214,143,2013-05-13 03:03:23,2013-05-20 18:17:22,14761964-2
215,65,2017-08-20 15:35:08,2017-08-31 19:26:55,65809271-5
216,175,2019-03-09 12:51:45,2019-03-13 13:10:26,33890329-4
217,86,2018-12-19 08:05:28,2018-12-31 23:43:52,84921010-6
218,198,2019-06-04 22:17:48,2019-06-10 10:05:54,47329036-7
219,133,2013-02-19 21:47:09,2013-03-06 13:46:33,29622397-2
220,154,2013-07-26 16:20:34,2013-07-29 19:53:25,25368817-3
221,153,2010-11-12 06:17:38,2010-11-24 07:40:19,47326835-3
222,30,2017-08-25 10:06:01,2017-09-06 00:04:34,33016426-3
223,74,2015-08-22 03:32:31,2015-08-26 11:16:45,42300579-3
224,50,2013-03-22 06:37:47,2013-03-25 09:56:39,46531952-6
225,194,2014-06-05 11:37:49,2014-06-18 22:17:05,37126798-0
226,67,2012-06-18 12:14:24,2012-06-27 16:30:26,59137080-4
227,14,2010-11-05 09:08:47,2010-11-14 22:27:07,85297873-2
228,156,2012-01-27 05:38:53,2012-02-03 12:05:26,52778909-5
229,143,2013-09-08 06:11:31,2013-09-16 20:49:42,14761964-2
230,112,2016-03-05 17:37:05,2016-03-10 03:27:30,30680313-1
231,27,2015-06-07 01:26:45,2015-06-14 08:08:40,44281327-2
232,211,2020-03-27 14:23:04,2020-04-05 21:26:18,56499633-5
233,144,2015-11-23 12:16:14,2015-11-26 23:04:57,11439340-1
234,168,2014-10-28 12:49:13,2014-11-08 19:27:34,83469143-4
235,192,2014-10-23 06:48:47,2014-10-26 23:27:39,91935122-5
236,143,2015-01-01 21:26:22,2015-01-05 08:13:08,83399209-0
237,29,2014-02-24 14:16:18,2014-03-07 05:59:48,54122700-8
238,74,2020-07-26 18:17:59,2020-08-02 10:14:12,49798131-k
239,159,2015-11-13 14:12:26,2015-11-27 16:44:09,63532763-4
240,29,2011-11-01 18:57:59,2011-11-12 20:18:18,28231652-8
241,82,2017-05-11 23:58:38,2017-05-15 15:16:15,83290634-4
242,82,2018-12-24 08:35:47,2019-01-03 15:19:46,33006349-1
243,136,2020-05-02 01:56:28,2020-05-08 14:01:53,54982068-9
244,140,2013-03-28 04:34:00,2013-04-01 14:21:45,68377701-3
245,75,2017-01-02 17:56:30,2017-01-11 04:17:28,79850677-3
246,214,2010-05-05 20:34:11,2010-05-17 01:51:48,19706256-8
247,203,2020-03-15 06:21:35,2020-03-21 13:14:35,63688364-6
248,94,2010-09-24 11:39:42,2010-10-07 13:08:07,41361801-0
249,11,2012-09-27 12:15:23,2012-10-02 01:19:57,97996738-1
250,143,2019-12-22 20:25:56,2019-12-27 22:09:31,61863167-2
251,208,2014-01-29 23:12:13,2014-02-06 23:41:12,56535213-k
252,188,2018-08-17 09:21:05,2018-08-26 01:25:16,66844166-1
253,98,2016-04-24 22:12:52,2016-05-01 09:08:19,99837067-1
254,135,2017-05-16 13:24:10,2017-05-24 00:44:27,21924647-1
255,187,2015-10-23 09:51:42,2015-11-04 22:50:32,73543707-0
256,97,2014-10-25 02:02:31,2014-11-04 05:53:29,77020926-9
257,180,2016-01-26 06:41:58,2016-02-08 11:02:06,61514910-1
258,93,2010-01-08 22:42:07,2010-01-19 23:15:19,82833215-5
259,163,2014-02-19 04:04:53,2014-02-24 07:40:16,42162871-8
260,51,2018-12-16 20:11:01,2018-12-31 11:26:41,66970190-k
261,191,2011-08-31 07:38:29,2011-09-11 10:55:33,29415476-0
262,46,2013-02-10 04:58:46,2013-02-23 16:07:11,67629255-1
263,170,2013-06-21 13:01:59,2013-07-03 17:49:52,73557956-8
264,99,2018-01-16 03:47:09,2018-01-19 10:00:52,17195049-k
265,80,2012-01-16 20:13:04,2012-01-26 12:15:20,85301240-8
266,136,2020-02-20 23:19:11,2020-02-27 14:59:18,42354523-2
267,0,2020-04-09 12:02:33,2020-04-15 00:37:39,75295314-7
268,85,2020-08-19 10:57:02,2020-08-29 20:12:31,15451762-6
269,32,2015-08-30 12:53:34,2015-09-05 00:17:52,88413708-k
270,42,2020-07-10 14:51:27,2020-07-13 18:04:59,69020528-9
271,6,2012-03-03 13:11:39,2012-03-14 13:44:29,45453849-8
272,202,2016-08-29 16:00:41,2016-09-03 19:33:06,41581842-4
273,119,2013-07-14 02:17:51,2013-07-27 04:22:53,59105378-7
274,161,2010-01-05 01:20:29,2010-01-19 13:01:34,27143992-k
275,197,2015-10-04 21:37:41,2015-10-18 23:49:05,98849412-7
276,9,2010-07-22 06:07:05,2010-07-30 22:34:42,70106627-8
277,97,2011-04-05 09:50:39,2011-04-19 11:36:36,60926655-4
278,90,2010-05-10 13:07:11,2010-05-18 16:55:52,24878659-0
279,107,2014-07-14 02:03:29,2014-07-18 11:33:35,38317707-3
280,23,2018-11-22 09:25:22,2018-11-26 22:47:44,57689116-4
281,161,2013-05-18 06:32:18,2013-05-21 18:08:20,83029887-8
282,189,2012-02-11 12:35:30,2012-02-23 02:37:09,45347413-5
283,81,2015-09-19 07:35:50,2015-09-26 20:24:57,48246125-5
284,117,2013-08-28 19:33:50,2013-09-07 03:03:19,44060880-9
285,72,2012-01-11 08:30:45,2012-01-16 19:12:04,22637365-9
286,57,2018-11-09 15:49:46,2018-11-20 06:51:00,57792927-0
287,44,2019-04-29 16:34:27,2019-05-13 21:39:42,12412672-k
288,61,2017-06-24 08:34:32,2017-07-08 15:56:46,93900888-8
289,20,2011-11-12 19:17:17,2011-11-16 02:33:59,78918085-7
290,15,2016-06-23 18:18:46,2016-07-04 03:36:30,18665525-7
291,17,2014-11-30 17:17:54,2014-12-15 09:25:15,80291272-2
292,67,2011-04-18 06:24:21,2011-04-22 21:04:21,58038177-4
293,201,2015-03-02 17:01:14,2015-03-06 08:00:55,69777560-9
294,114,2014-06-18 04:32:18,2014-06-22 15:09:49,28370900-0
295,79,2018-11-19 03:26:00,2018-11-25 18:26:56,92244003-4
296,215,2011-07-28 07:38:39,2011-08-11 10:18:27,99075946-4
297,38,2011-03-10 06:01:15,2011-03-15 12:18:55,73222374-6
298,118,2017-12-21 01:41:21,2017-12-26 02:35:39,48553208-0
299,191,2020-06-05 15:13:40,2020-06-20 04:13:21,92253121-8
300,78,2013-06-27 20:19:10,2013-07-04 06:37:51,12815044-7
301,54,2010-03-10 10:03:39,2010-03-24 00:51:12,79348268-k
302,183,2014-05-03 02:45:54,2014-05-07 14:07:19,32644502-9
303,80,2020-01-13 23:13:32,2020-01-20 12:32:17,50319391-4
304,96,2012-01-13 12:47:13,2012-01-21 15:11:06,44770429-3
305,135,2018-12-05 23:52:43,2018-12-14 07:01:25,82719046-2
306,127,2019-08-25 00:08:17,2019-09-04 14:36:56,14343597-0
307,18,2014-10-29 12:20:06,2014-11-08 01:12:32,53783913-9
308,183,2014-03-21 21:58:58,2014-03-26 03:06:18,48425773-6
309,12,2010-04-21 03:02:20,2010-05-03 16:46:21,69265725-k
310,211,2016-10-27 20:03:34,2016-11-03 22:14:53,55326528-2
311,0,2011-11-10 12:49:16,2011-11-15 12:57:03,12842111-4
312,144,2014-02-06 15:39:38,2014-02-18 02:04:24,70388205-6
313,160,2011-10-09 01:44:14,2011-10-22 12:45:04,82319208-8
314,37,2016-07-20 14:03:46,2016-08-01 21:02:57,41694611-6
315,97,2010-01-24 16:04:34,2010-02-04 20:07:53,87544765-3
316,74,2015-09-21 21:57:09,2015-09-30 11:23:04,47121914-2
317,162,2019-12-13 20:54:53,2019-12-19 01:24:50,48998776-7
318,82,2010-09-18 20:13:54,2010-09-24 09:19:02,64268937-1
319,206,2017-01-12 08:07:59,2017-01-26 19:39:07,21219682-7
320,181,2019-03-25 22:32:22,2019-03-31 08:51:11,34761062-3
321,0,2018-09-16 10:03:13,2018-09-22 14:12:53,12842111-4
322,143,2016-06-11 13:22:28,2016-06-14 19:02:44,19027799-2
323,111,2016-01-31 14:49:28,2016-02-12 02:12:55,62820832-8
324,52,2011-02-25 08:10:50,2011-03-01 00:16:31,61993529-2
325,53,2016-07-27 03:43:00,2016-08-02 11:47:49,53747213-8
326,11,2015-06-27 13:18:02,2015-07-05 16:05:11,97996738-1
327,86,2011-09-07 21:23:26,2011-09-15 23:22:18,42113348-4
328,208,2018-11-30 22:50:31,2018-12-09 06:00:08,97404549-4
329,155,2010-02-23 22:06:50,2010-03-09 02:11:05,81207716-3
330,18,2019-04-09 18:53:58,2019-04-22 05:40:34,12920124-k
331,76,2018-10-20 12:38:36,2018-11-01 17:42:25,73418283-4
332,93,2011-12-08 03:42:36,2011-12-15 04:53:30,44372095-2
333,188,2012-01-15 02:56:01,2012-01-21 06:24:21,83584289-4
334,177,2010-04-12 05:14:46,2010-04-17 12:34:49,24129722-5
335,165,2017-05-09 04:35:17,2017-05-18 15:32:44,87442136-7
336,31,2020-06-20 06:16:40,2020-06-26 22:35:59,90471139-k
337,186,2018-05-15 16:27:18,2018-05-22 09:07:01,31679088-7
338,164,2013-06-12 10:16:45,2013-06-23 23:08:02,75397524-1
339,29,2013-03-29 16:23:20,2013-04-06 07:27:40,28231652-8
340,95,2011-11-14 07:08:12,2011-11-23 14:35:00,38235761-2
341,2,2011-07-26 06:38:35,2011-07-30 20:12:03,93840785-1
342,26,2014-10-11 19:47:33,2014-10-25 11:40:18,43922451-7
343,66,2013-08-26 20:16:59,2013-08-30 06:06:06,95932617-7
344,149,2011-11-25 08:04:44,2011-11-30 11:53:57,13690129-k
345,68,2011-12-04 04:03:51,2011-12-08 16:51:29,99294258-4
346,105,2017-09-17 03:49:20,2017-09-26 13:24:40,91059844-9
347,99,2017-10-22 06:03:31,2017-11-03 08:41:01,48161908-4
348,160,2016-10-24 23:55:14,2016-10-30 11:17:21,93550420-1
349,138,2020-07-05 17:55:34,2020-07-17 04:25:18,44604413-3
350,207,2010-08-13 19:22:31,2010-08-23 19:53:44,35785969-7
351,204,2016-05-22 10:14:45,2016-05-27 10:24:47,66183219-3
352,203,2017-03-22 12:05:57,2017-03-27 14:24:30,40978316-3
353,124,2017-08-21 21:15:38,2017-09-05 04:21:09,26123513-7
354,179,2019-11-09 10:35:22,2019-11-16 14:45:12,14811794-2
355,83,2013-11-04 08:52:15,2013-11-18 18:00:21,49995619-3
356,16,2015-08-20 02:45:50,2015-08-29 10:31:27,26240285-1
357,166,2019-04-10 20:01:37,2019-04-19 01:41:19,78463527-9
358,13,2011-05-14 08:41:02,2011-05-23 15:43:38,52176953-k
359,186,2015-04-16 00:15:33,2015-04-30 13:24:21,53234460-3
360,45,2017-10-20 01:16:35,2017-10-30 11:16:13,22274441-5
361,21,2010-10-14 10:10:33,2010-10-22 16:06:43,35340502-0
362,54,2010-08-08 22:59:48,2010-08-14 07:18:36,48925896-k
363,92,2015-06-29 00:09:31,2015-07-04 06:23:52,12033288-0
364,46,2011-08-28 07:26:29,2011-08-31 21:51:28,91888493-9
365,172,2011-06-25 09:42:00,2011-06-28 18:23:17,59959821-9
366,50,2010-07-20 19:56:31,2010-07-24 08:31:30,62550748-0
367,92,2020-03-15 15:18:14,2020-03-19 17:13:28,30224213-5
368,79,2017-08-30 05:01:41,2017-09-11 16:43:59,92244003-4
369,103,2010-09-26 08:35:20,2010-10-09 23:48:50,95667888-9
370,8,2010-12-05 13:56:56,2010-12-14 02:00:38,87631642-0
371,26,2017-08-28 16:02:09,2017-09-01 04:46:59,95741388-9
372,147,2014-06-02 10:06:53,2014-06-11 18:27:27,48433213-4
373,56,2010-03-06 13:03:18,2010-03-21 02:39:53,77941465-5
374,186,2019-09-15 19:38:33,2019-09-29 04:35:45,53234460-3
375,142,2020-03-30 11:40:44,2020-04-11 16:09:01,13592940-9
376,184,2010-06-19 08:27:08,2010-06-25 17:23:59,52158784-9
377,27,2015-05-15 15:08:08,2015-05-18 16:30:42,25002692-7
378,207,2014-08-01 09:32:58,2014-08-06 11:52:32,35785969-7
379,3,2010-05-28 18:20:46,2010-06-05 07:29:39,33078552-7
380,109,2016-09-30 01:01:52,2016-10-12 02:57:18,52576933-k
381,41,2012-05-22 04:16:25,2012-06-01 19:14:56,23686910-5
382,202,2015-10-01 03:49:45,2015-10-07 13:27:22,38405094-8
383,116,2010-07-25 05:17:24,2010-07-29 09:16:51,65346159-3
384,188,2014-12-05 12:18:39,2014-12-17 21:55:37,66844166-1
385,141,2017-02-14 20:26:14,2017-02-18 04:08:18,79344858-9
386,192,2020-01-02 03:18:44,2020-01-16 10:04:02,91085975-7
